epoch,accuracy,loss,val_accuracy,val_loss
0,0.3838914930820465,1.3275446891784668,0.4380403459072113,1.2752659320831299
1,0.6487683653831482,0.9734892249107361,0.651296854019165,0.9180242419242859
2,0.8029338717460632,0.5698295831680298,0.6945244669914246,0.7677727341651917
3,0.8552449345588684,0.39965158700942993,0.6714697480201721,0.7963970303535461
4,0.8856905698776245,0.32264378666877747,0.6657060384750366,0.8376651406288147
5,0.9106006026268005,0.2592524588108063,0.6743515729904175,0.8954861760139465
6,0.9294215440750122,0.2145322561264038,0.6714697480201721,0.957461953163147
7,0.9482424855232239,0.17854207754135132,0.6628242135047913,1.0147243738174438
8,0.952117383480072,0.1559205949306488,0.6541786789894104,1.0952095985412598
9,0.9584832787513733,0.13677382469177246,0.6570605039596558,1.1411775350570679
10,0.9676169157028198,0.116321861743927,0.6541786789894104,1.2660422325134277
11,0.9673401713371277,0.11085069179534912,0.6570605039596558,1.2229576110839844
12,0.9681705236434937,0.10566362738609314,0.6455331444740295,1.32721745967865
13,0.9709382653236389,0.10007956624031067,0.6685879230499268,1.3307725191116333
14,0.971491813659668,0.09459605067968369,0.6714697480201721,1.3725725412368774
15,0.9725989699363708,0.08632177114486694,0.6541786789894104,1.3997673988342285
16,0.976473867893219,0.08143450319766998,0.6657060384750366,1.438570261001587
17,0.9748131632804871,0.07376712560653687,0.6657060384750366,1.4608491659164429
18,0.977027416229248,0.06893215328454971,0.6599423885345459,1.4853837490081787
19,0.9775809645652771,0.07055889070034027,0.651296854019165,1.4958115816116333
20,0.9753667116165161,0.07259133458137512,0.651296854019165,1.5794628858566284
21,0.977027416229248,0.06504305452108383,0.680115282535553,1.5671817064285278
22,0.9803487658500671,0.06570525467395782,0.6657060384750366,1.5744221210479736
23,0.9809023141860962,0.05834386870265007,0.6685879230499268,1.600628137588501
24,0.976473867893219,0.0599428154528141,0.6484149694442749,1.635879397392273
